,Fuel type,body type,transmission,owner,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City,price_clean,price_lakh
789,Cng,Sedan,Manual,2,Maruti,Maruti SX4,2014,3.0,Third Party insurance,50000,22.1,5.0,Gray,Bangalore,3 Lakh,3.0
790,Petrol,Sedan,Automatic,1,Jaguar,Jaguar XE,2019,36.75,Comprehensive,28000,13.5,5.0,Black,Bangalore,36.75 Lakh,36.75
791,Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2020,6.7,Third Party insurance,40000,21.21,5.0,Others,Bangalore,6.70 Lakh,6.7
792,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2020,9.0,Third Party insurance,10000,21.01,5.0,Others,Bangalore,9 Lakh,9.0
793,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,6.0,Third Party insurance,60000,21.4,5.0,Others,Bangalore,6 Lakh,6.0
794,Petrol,Hatchback,Manual,4,Chevrolet,Chevrolet Spark,2008,1.1,Third Party insurance,110000,18.0,5.0,Silver,Bangalore,1.10 Lakh,1.1
795,Petrol,Hatchback,Manual,1,Hyundai,Hyundai i20,2016,6.05,Third Party insurance,57459,18.6,5.0,Red,Bangalore,6.05 Lakh,6.05
796,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2017,5.59,Zero Dep,70381,18.9,5.0,Red,Bangalore,5.59 Lakh,5.59
797,Diesel,Hatchback,Manual,3,Volkswagen,Volkswagen Polo,2012,2.68,Third Party insurance,90000,22.07,5.0,Black,Bangalore,2.68 Lakh,2.68
798,Petrol,Sedan,Manual,1,Maruti,Maruti Ciaz,2020,7.8,Comprehensive,80648,20.65,5.0,White,Bangalore,7.80 Lakh,7.8
799,Petrol,SUV,Manual,2,Hyundai,Hyundai Creta,2016,8.64,Comprehensive,81853,13.0,5.0,White,Bangalore,8.64 Lakh,8.64
800,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Santro Xing,2009,2.4,Third Party insurance,40000,17.92,5.0,Others,Bangalore,2.40 Lakh,2.4
801,Petrol,Hatchback,Manual,1,Honda,Honda Brio,2012,3.41,Comprehensive,90802,19.4,5.0,Red,Bangalore,3.41 Lakh,3.41
802,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Santro Xing,2009,2.4,Third Party insurance,40000,17.92,5.0,Others,Bangalore,2.40 Lakh,2.4
803,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Santro,2021,5.13,Zero Dep,16502,20.3,5.0,White,Bangalore,5.13 Lakh,5.13
804,Petrol,Hatchback,Manual,1,Maruti,Maruti Ignis,2021,6.61,Third Party,31530,20.89,5.0,Silver,Bangalore,6.61 Lakh,6.61
805,Diesel,MUV,Manual,2,Maruti,Maruti Ertiga,2017,8.0,Third Party insurance,120000,24.52,7.0,Others,Bangalore,8 Lakh,8.0
806,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2015,5.2,Third Party insurance,80000,25.2,5.0,Others,Bangalore,5.20 Lakh,5.2
807,Petrol,Sedan,Automatic,1,Honda,Honda City,2014,6.0,Comprehensive,71086,18.0,5.0,TITANIUM GREY,Bangalore,6 Lakh,6.0
808,Diesel,Hatchback,Manual,2,Maruti,Maruti Ritz,2011,3.0,Third Party insurance,110000,21.1,5.0,Others,Bangalore,3 Lakh,3.0
809,Diesel,SUV,Automatic,1,Ford,Ford Endeavour,2020,37.5,Comprehensive,50000,10.91,7.0,Golden,Bangalore,37.50 Lakh,37.5
810,Petrol,Hatchback,Automatic,1,Hyundai,Hyundai i20 N Line,2021,12.95,Comprehensive,18000,20.25,5.0,White,Bangalore,12.95 Lakh,12.95
811,Petrol,Sedan,Manual,2,Honda,Honda City,2014,6.3,Third Party insurance,60000,17.4,5.0,Others,Bangalore,6.30 Lakh,6.3
812,Diesel,MUV,Manual,3,Chevrolet,Chevrolet Tavera,2016,4.75,Third Party insurance,120000,13.58,10.0,White,Bangalore,4.75 Lakh,4.75
813,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i10,2011,2.75,Third Party insurance,70000,20.36,5.0,Others,Bangalore,2.75 Lakh,2.75
814,Petrol,Hatchback,Automatic,4,Honda,Honda Jazz,2016,5.75,Comprehensive,25000,19.0,5.0,Silver,Bangalore,5.75 Lakh,5.75
815,Petrol,Hatchback,Manual,1,Honda,Honda Brio,2012,3.38,Third Party,69210,19.4,5.0,Silver,Bangalore,3.38 Lakh,3.38
816,Petrol,Hatchback,Manual,2,Honda,Honda Jazz,2018,6.04,Comprehensive,71165,18.7,5.0,Red,Bangalore,6.04 Lakh,6.04
817,Petrol,SUV,Automatic,1,BMW,BMW X7,2022,130.0,Third Party insurance,10000,10.54,7.0,Others,Bangalore,1.30 Crore,130.0
818,Diesel,Sedan,Manual,3,Maruti,Maruti Swift Dzire,2010,3.27,Third Party insurance,86543,19.3,5.0,Black,Bangalore,3.27 Lakh,3.27
819,Petrol,Hatchback,Automatic,1,Maruti,Maruti Baleno,2016,6.21,Third Party,67225,21.4,5.0,Others,Bangalore,6.21 Lakh,6.21
820,Diesel,Hatchback,Manual,3,Tata,Tata Indica V2,2017,2.4,Third Party insurance,100000,25.0,5.0,Silver,Bangalore,2.40 Lakh,2.4
821,Petrol,Hatchback,Manual,1,Hyundai,Hyundai Grand i10,2018,6.21,Zero Dep,16247,18.9,5.0,Silver,Bangalore,6.21 Lakh,6.21
822,Petrol,Sedan,Manual,2,Mahindra Renault,Mahindra Renault Logan,2007,1.4,Third Party insurance,80000,15.7,5.0,Black,Bangalore,1.40 Lakh,1.4
