it,ft,bt,km,transmission,ownerNo,owner,oem,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Engine,Seats.1,Color,Gear Box,Drive Type,City
0,Petrol,Hatchback,"68,039",Manual,2,2nd Owner,Tata,Tata Tiago,2017,₹ 4.68 Lakh,Third Party insurance,"68,039 Kms",23.84 kmpl,1199 CC,5.0,Orange,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"60,000",Manual,2,2nd Owner,Maruti,Maruti Ritz,2014,₹ 4.20 Lakh,Third Party insurance,"60,000 Kms",18.5 kmpl,1197 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"60,000",Manual,2,2nd Owner,Maruti,Maruti Ritz,2014,₹ 4.20 Lakh,Third Party insurance,"60,000 Kms",18.5 kmpl,1197 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"10,000",Manual,1,1st Owner,Hyundai,Hyundai i20,2021,₹ 9.20 Lakh,Third Party insurance,"10,000 Kms",20 kmpl,998 CC,5.0,Others,6 Speed IMT,,Bangalore
0,Petrol,Sedan,"49,873",Manual,1,1st Owner,Honda,Honda City,2013,₹ 5.33 Lakh,Third Party,"49,873 Kms",16.8 kmpl,1497 CC,5.0,Yellow,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"90,000",Automatic,3,3rd Owner,Volkswagen,Volkswagen Polo,2013,₹ 8.50 Lakh,Third Party insurance,"90,000 Kms",17.2 kmpl,1197 CC,5.0,Others,7 Speed,FWD,Bangalore
0,Diesel,Sedan,"48,960",Manual,2,2nd Owner,Skoda,Skoda Rapid,2017,₹ 7.51 Lakh,Third Party insurance,"48,960 Kms",21.13 kmpl,1498 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Diesel,Hatchback,"70,000",Manual,2,2nd Owner,Hyundai,Hyundai Grand i10,2014,₹ 3.88 Lakh,Third Party insurance,"70,000 Kms",24 kmpl,1120 CC,5.0,Others,5 Speed,FWD,Bangalore
0,Petrol,Hatchback,"68,000",Manual,2,2nd Owner,Hyundai,Hyundai i20,2013,₹ 4.90 Lakh,Comprehensive,"68,000 Kms",18.5 kmpl,1197 CC,5.0,Silver,5 Speed,FWD,Bangalore
0,Diesel,SUV,"23,017",Manual,1,1st Owner,Mahindra,Mahindra KUV 100,2016,₹ 4.94 Lakh,Third Party,"23,017 Kms",25.32 kmpl,1198 CC,6.0,Orange,5 Speed,FWD,Bangalore
